customer_id,account_id,subscription_type,subscription_amount,subscription_operating_cost,subscription_duration,cancel_validation,cancel_reason
STRM-100065,ACC-100065,tier 2,7,3,1350,no,
STRM-100066,ACC-100066,tier 2,7,3,152,yes,too expensive
STRM-100067,ACC-100067,tier 1,10,3,1401,no,
STRM-100068,ACC-100068,tier 3,5,3,1509,no,
STRM-100069,ACC-100069,tier 1,10,3,1434,no,
STRM-100070,ACC-100070,tier 3,5,3,60,yes,switch to competitor
STRM-100071,ACC-100071,tier 3,5,3,1618,no,
STRM-100072,ACC-100072,tier 1,10,3,1458,no,
STRM-100073,ACC-100073,tier 1,10,3,722,yes,not enough content
STRM-100074,ACC-100074,tier 3,5,3,1386,no,
STRM-100075,ACC-100075,tier 2,7,3,1527,no,
STRM-100076,ACC-100076,tier 2,7,3,1335,no,
STRM-100077,ACC-100077,tier 3,5,3,431,yes,too expensive
STRM-100078,ACC-100078,tier 1,10,3,196,yes,not enough content
STRM-100079,ACC-100079,tier 2,7,3,436,yes,not enough content
STRM-100080,ACC-100080,tier 1,10,3,125,yes,not enough content
STRM-100081,ACC-100081,tier 3,5,3,1571,no,
STRM-100082,ACC-100082,tier 2,7,3,1568,no,
STRM-100083,ACC-100083,tier 2,7,3,1516,no,
STRM-100084,ACC-100084,tier 1,10,3,1356,no,
STRM-100085,ACC-100085,tier 2,7,3,282,yes,switch to competitor
STRM-100086,ACC-100086,tier 2,7,3,1629,no,
STRM-100087,ACC-100087,tier 2,7,3,133,yes,too expensive
STRM-100088,ACC-100088,tier 2,7,3,1662,no,
STRM-100089,ACC-100089,tier 3,5,3,1464,no,
STRM-100090,ACC-100090,tier 2,7,3,1524,no,
STRM-100091,ACC-100091,tier 1,10,3,1526,no,
STRM-100092,ACC-100092,tier 2,7,3,1533,no,
STRM-100093,ACC-100093,tier 3,5,3,1490,no,
STRM-100094,ACC-100094,tier 2,7,3,326,yes,switch to competitor
STRM-100095,ACC-100095,tier 3,5,3,1388,no,
STRM-100096,ACC-100096,tier 2,7,3,1458,no,
STRM-100097,ACC-100097,tier 2,7,3,1598,no,
STRM-100098,ACC-100098,tier 2,7,3,1564,no,
STRM-100099,ACC-100099,tier 1,10,3,1672,no,
STRM-100100,ACC-100100,tier 1,10,3,604,yes,too expensive
STRM-100101,ACC-100101,tier 1,10,3,1480,no,
STRM-100102,ACC-100102,tier 2,7,3,239,yes,too expensive
STRM-100103,ACC-100103,tier 2,7,3,1399,no,
STRM-100104,ACC-100104,tier 2,7,3,1447,no,
STRM-100105,ACC-100105,tier 3,5,3,1458,no,
STRM-100106,ACC-100106,tier 1,10,3,501,yes,switch to competitor
STRM-100107,ACC-100107,tier 2,7,3,298,yes,not enough content
STRM-100108,ACC-100108,tier 3,5,3,1562,no,
STRM-100109,ACC-100109,tier 1,10,3,1545,no,
STRM-100110,ACC-100110,tier 1,10,3,1607,no,
STRM-100111,ACC-100111,tier 2,7,3,1472,no,
STRM-100112,ACC-100112,tier 1,10,3,1653,no,
STRM-100113,ACC-100113,tier 3,5,3,35,yes,not enough content
STRM-100114,ACC-100114,tier 3,5,3,320,yes,too expensive
STRM-100115,ACC-100115,tier 2,7,3,240,yes,switch to competitor
STRM-100116,ACC-100116,tier 3,5,3,1461,no,
STRM-100117,ACC-100117,tier 3,5,3,184,yes,not enough content
STRM-100118,ACC-100118,tier 1,10,3,1411,no,
STRM-100119,ACC-100119,tier 3,5,3,1355,no,
STRM-100120,ACC-100120,tier 2,7,3,1551,no,
STRM-100121,ACC-100121,tier 3,5,3,403,yes,not enough content
STRM-100122,ACC-100122,tier 3,5,3,1643,no,
STRM-100123,ACC-100123,tier 2,7,3,1570,no,
STRM-100124,ACC-100124,tier 1,10,3,219,yes,too expensive
STRM-100125,ACC-100125,tier 1,10,3,1620,no,
STRM-100126,ACC-100126,tier 2,7,3,1326,no,
STRM-100127,ACC-100127,tier 3,5,3,132,yes,too expensive
STRM-100128,ACC-100128,tier 3,5,3,1388,no,
STRM-100129,ACC-100129,tier 1,10,3,1583,no,
STRM-100130,ACC-100130,tier 2,7,3,715,yes,switch to competitor
STRM-100131,ACC-100131,tier 2,7,3,370,yes,too expensive
STRM-100132,ACC-100132,tier 1,10,3,1495,no,
STRM-100133,ACC-100133,tier 1,10,3,123,yes,not enough content
STRM-100134,ACC-100134,tier 2,7,3,1449,no,
STRM-100135,ACC-100135,tier 3,5,3,291,yes,not enough content
STRM-100136,ACC-100136,tier 2,7,3,621,yes,not enough content
STRM-100137,ACC-100137,tier 2,7,3,1640,no,
STRM-100138,ACC-100138,tier 2,7,3,1447,no,
STRM-100139,ACC-100139,tier 2,7,3,1670,no,
STRM-100140,ACC-100140,tier 3,5,3,1576,no,
STRM-100141,ACC-100141,tier 3,5,3,1379,no,
STRM-100142,ACC-100142,tier 2,7,3,1587,no,
STRM-100143,ACC-100143,tier 2,7,3,1561,no,
STRM-100144,ACC-100144,tier 2,7,3,1676,no,
STRM-100145,ACC-100145,tier 2,7,3,1560,no,
STRM-100146,ACC-100146,tier 1,10,3,1401,no,
STRM-100147,ACC-100147,tier 2,7,3,1325,no,
STRM-100148,ACC-100148,tier 2,7,3,338,yes,not enough content
STRM-100149,ACC-100149,tier 1,10,3,298,yes,switch to competitor
STRM-100150,ACC-100150,tier 2,7,3,1585,no,
STRM-100151,ACC-100151,tier 3,5,3,1677,no,
STRM-100152,ACC-100152,tier 1,10,3,1657,no,
STRM-100153,ACC-100153,tier 1,10,3,1678,no,
STRM-100154,ACC-100154,tier 2,7,3,1510,no,
STRM-100155,ACC-100155,tier 3,5,3,425,yes,switch to competitor
STRM-100156,ACC-100156,tier 1,10,3,1362,no,
STRM-100157,ACC-100157,tier 2,7,3,102,yes,too expensive
STRM-100158,ACC-100158,tier 3,5,3,1471,no,
STRM-100159,ACC-100159,tier 1,10,3,1417,no,
STRM-100160,ACC-100160,tier 2,7,3,1465,no,
STRM-100161,ACC-100161,tier 2,7,3,227,yes,too expensive
STRM-100162,ACC-100162,tier 2,7,3,1346,no,
STRM-100163,ACC-100163,tier 2,7,3,1646,no,
STRM-100164,ACC-100164,tier 2,7,3,1380,no,
STRM-100165,ACC-100165,tier 1,10,3,1323,no,
STRM-100166,ACC-100166,tier 3,5,3,655,yes,too expensive
STRM-100167,ACC-100167,tier 2,7,3,1626,no,
STRM-100168,ACC-100168,tier 1,10,3,1612,no,
STRM-100169,ACC-100169,tier 1,10,3,464,yes,switch to competitor
STRM-100170,ACC-100170,tier 2,7,3,1529,no,
STRM-100171,ACC-100171,tier 2,7,3,1643,no,
STRM-100172,ACC-100172,tier 1,10,3,1556,no,
STRM-100173,ACC-100173,tier 2,7,3,605,yes,not enough content
STRM-100174,ACC-100174,tier 1,10,3,1419,no,
STRM-100175,ACC-100175,tier 2,7,3,1461,no,
STRM-100176,ACC-100176,tier 1,10,3,1506,no,
STRM-100177,ACC-100177,tier 2,10.00.00,3,1516,no,
STRM-100178,ACC-100178,tier 2,7,3,578,yes,too expensive
STRM-100179,ACC-100179,tier 3,5,3,1523,no,
STRM-100180,ACC-100180,tier 1,10,3,1684,no,
STRM-100181,ACC-100181,tier 2,7,3,1657,no,
STRM-100182,ACC-100182,tier 1,10,3,223,yes,not enough content
STRM-100183,ACC-100183,tier 3,5,3,511,yes,too expensive
STRM-100184,ACC-100184,tier 3,5,3,177,yes,too expensive
STRM-100185,ACC-100185,tier 2,7,3,1476,no,
STRM-100186,ACC-100186,tier 2,7,3,525,yes,too expensive
STRM-100187,ACC-100187,tier 3,5,3,264,yes,too expensive
STRM-100188,ACC-100188,tier 2,7,3,535,yes,too expensive
STRM-100189,ACC-100189,tier 2,7,3,1472,no,
STRM-100190,ACC-100190,tier 1,10,3,616,yes,not enough content
STRM-100191,ACC-100191,tier 1,10,3,1456,no,
STRM-100192,ACC-100192,tier 3,5,3,1406,no,
STRM-100193,ACC-100193,tier 3,5,3,1562,no,
STRM-100194,ACC-100194,tier 2,7,3,405,yes,too expensive
STRM-100195,ACC-100195,tier 2,7,3,1666,no,
STRM-100196,ACC-100196,tier 2,7,3,1459,no,
STRM-100197,ACC-100197,tier 2,7,3,1611,no,
STRM-100198,ACC-100198,tier 3,5,3,286,yes,not enough content
STRM-100199,ACC-100199,tier 3,5,3,705,yes,switch to competitor
STRM-100200,ACC-100200,tier 3,5,3,1364,no,
STRM-100201,ACC-100201,tier 2,7,3,1649,no,
STRM-100202,ACC-100202,tier 1,10,3,1638,no,
STRM-100203,ACC-100203,tier 1,10,3,1599,no,
STRM-100204,ACC-100204,tier 3,5,3,1656,no,
STRM-100205,ACC-100205,tier 2,7,3,1559,no,
STRM-100206,ACC-100206,tier 1,10,3,1595,no,
STRM-100207,ACC-100207,tier 1,10,3,1386,no,
STRM-100208,ACC-100208,tier 2,7,3,1554,no,
STRM-100209,ACC-100209,tier 1,10,3,1405,no,
STRM-100210,ACC-100210,tier 1,10,3,1531,no,
STRM-100211,ACC-100211,tier 2,7,3,1530,no,
STRM-100212,ACC-100212,tier 2,7,3,1563,no,
STRM-100213,ACC-100213,tier 2,7,3,1533,no,
STRM-100214,ACC-100214,tier 1,10,3,1680,no,
STRM-100215,ACC-100215,tier 2,7,3,308,yes,too expensive
STRM-100216,ACC-100216,tier 1,10,3,1359,no,
STRM-100217,ACC-100217,tier 2,7,3,676,yes,not enough content
STRM-100218,ACC-100218,tier 2,7,3,1459,no,
STRM-100219,ACC-100219,tier 2,7,3,1533,no,
STRM-100220,ACC-100220,tier 3,5,3,389,yes,switch to competitor
STRM-100221,ACC-100221,tier 2,7,3,508,yes,switch to competitor
STRM-100222,ACC-100222,tier 2,7,3,1626,no,
STRM-100223,ACC-100223,tier 1,10,3,705,yes,switch to competitor
STRM-100224,ACC-100224,tier 2,7,3,1482,no,
STRM-100225,ACC-100225,tier 2,7,3,1496,no,
STRM-100226,ACC-100226,tier 1,10,3,395,yes,not enough content
STRM-100227,ACC-100227,tier 3,5,3,1672,no,
STRM-100228,ACC-100228,tier 2,7,3,1571,no,
STRM-100229,ACC-100229,tier 3,5,3,1530,no,
STRM-100230,ACC-100230,tier 2,7,3,1665,no,
STRM-100231,ACC-100231,tier 3,5,3,153,yes,too expensive
STRM-100232,ACC-100232,tier 2,7,3,728,yes,too expensive
STRM-100233,ACC-100233,tier 2,7,3,685,yes,not enough content
STRM-100234,ACC-100234,tier 2,7,3,301,yes,too expensive
STRM-100235,ACC-100235,tier 1,10,3,1457,no,
STRM-100236,ACC-100236,tier 2,7,3,1333,no,
STRM-100237,ACC-100237,tier 2,7,3,1481,no,
STRM-100238,ACC-100238,tier 1,10,3,1345,no,
STRM-100239,ACC-100239,tier 2,7,3,1514,no,
STRM-100240,ACC-100240,tier 1,10,3,1401,no,
STRM-100241,ACC-100241,tier 3,5,3,625,yes,not enough content
STRM-100242,ACC-100242,tier 3,5,3,1618,no,
STRM-100243,ACC-100243,tier 3,5,3,1671,no,
STRM-100244,ACC-100244,tier 2,7,3,1519,no,
STRM-100245,ACC-100245,tier 1,10,3,1469,no,
STRM-100246,ACC-100246,tier 3,5,3,1499,no,
STRM-100247,ACC-100247,tier 2,7,3,59,yes,too expensive
STRM-100248,ACC-100248,tier 3,5,3,77,yes,switch to competitor
STRM-100249,ACC-100249,tier 3,5,3,1333,no,
STRM-100250,ACC-100250,tier 3,5,3,1520,no,
STRM-100251,ACC-100251,tier 2,7,3,1365,no,
STRM-100252,ACC-100252,tier 2,7,3,1379,no,
STRM-100253,ACC-100253,tier 3,5,3,1325,no,
STRM-100254,ACC-100254,tier 2,7,3,438,yes,too expensive
STRM-100255,ACC-100255,tier 1,10,3,335,yes,not enough content
STRM-100256,ACC-100256,tier 2,7,3,1554,no,
STRM-100257,ACC-100257,tier 3,5,3,110,yes,not enough content
STRM-100258,ACC-100258,tier 2,7,3,584,yes,switch to competitor
STRM-100259,ACC-100259,tier 2,7,3,1622,no,
STRM-100260,ACC-100260,tier 1,10,3,629,yes,not enough content
STRM-100261,ACC-100261,tier 2,7,3,1389,no,
STRM-100262,ACC-100262,tier 3,5,3,1629,no,
STRM-100263,ACC-100263,tier 1,10,3,1542,no,
STRM-100264,ACC-100264,tier 2,7,3,288,yes,too expensive
STRM-100265,ACC-100265,tier 3,5,3,362,yes,too expensive
STRM-100266,ACC-100266,tier 2,7,3,1611,no,
STRM-100267,ACC-100267,tier 2,7,3,108,yes,switch to competitor
STRM-100268,ACC-100268,tier 2,7,3,1470,no,
STRM-100269,ACC-100269,tier 2,7,3,596,yes,not enough content
STRM-100270,ACC-100270,tier 2,7,3,1605,no,
STRM-100271,ACC-100271,tier 3,5,3,1643,no,
STRM-100272,ACC-100272,tier 3,5,3,1374,no,
STRM-100273,ACC-100273,tier 3,5,3,1422,no,
STRM-100274,ACC-100274,tier 3,5,3,1337,no,
STRM-100275,ACC-100275,tier 2,7,3,1572,no,
STRM-100276,ACC-100276,tier 2,7,3,1580,no,
STRM-100277,ACC-100277,tier 3,5,3,1554,no,
STRM-100278,ACC-100278,tier 2,7,3,1464,no,
STRM-100279,ACC-100279,tier 2,7,3,377,yes,switch to competitor
STRM-100280,ACC-100280,tier 3,5,3,1663,no,
STRM-100281,ACC-100281,tier 3,5,3,1390,no,
STRM-100282,ACC-100282,tier 2,7,3,1626,no,
STRM-100283,ACC-100283,tier 2,7,3,1368,no,
STRM-100284,ACC-100284,tier 1,10,3,1630,no,
STRM-100285,ACC-100285,tier 2,7,3,1644,no,
STRM-100286,ACC-100286,tier 1,10,3,93,yes,too expensive
STRM-100287,ACC-100287,tier 2,7,3,1423,no,
STRM-100288,ACC-100288,tier 2,7,3,256,yes,switch to competitor
STRM-100289,ACC-100289,tier 2,7,3,1583,no,
STRM-100290,ACC-100290,tier 2,7,3,1363,no,
STRM-100291,ACC-100291,tier 1,10,3,1395,no,
STRM-100292,ACC-100292,tier 1,10,3,1523,no,
STRM-100293,ACC-100293,tier 3,5,3,1361,no,
STRM-100294,ACC-100294,tier 2,7,3,1425,no,
STRM-100295,ACC-100295,tier 1,10,3,1655,no,
STRM-100296,ACC-100296,tier 2,7,3,1638,no,
STRM-100297,ACC-100297,tier 3,5,3,1387,no,
STRM-100298,ACC-100298,tier 1,10,3,1392,no,
STRM-100299,ACC-100299,tier 2,7,3,476,yes,not enough content
STRM-100300,ACC-100300,tier 1,10,3,1641,no,
STRM-100301,ACC-100301,tier 1,10,3,1322,no,
STRM-100302,ACC-100302,tier 2,7,3,411,yes,switch to competitor
STRM-100303,ACC-100303,tier 2,7,3,1378,no,
STRM-100304,ACC-100304,tier 2,7,3,1516,no,
STRM-100305,ACC-100305,tier 2,7,3,687,yes,not enough content
STRM-100306,ACC-100306,tier 3,5,3,1643,no,
STRM-100307,ACC-100307,tier 2,7,3,1349,no,
STRM-100308,ACC-100308,tier 2,7,3,332,yes,not enough content
STRM-100309,ACC-100309,tier 3,5,3,701,yes,too expensive
STRM-100310,ACC-100310,tier 2,7,3,1341,no,
STRM-100311,ACC-100311,tier 2,7,3,1526,no,
STRM-100312,ACC-100312,tier 1,10,3,1436,no,
STRM-100313,ACC-100313,tier 1,10,3,118,yes,too expensive
STRM-100314,ACC-100314,tier 3,5,3,647,yes,too expensive
STRM-100315,ACC-100315,tier 3,5,3,1601,no,
STRM-100316,ACC-100316,tier 2,7,3,1460,no,
STRM-100317,ACC-100317,tier 2,7,3,1372,no,
STRM-100318,ACC-100318,tier 1,10,3,1562,no,
STRM-100319,ACC-100319,tier 1,10,3,466,yes,not enough content
STRM-100320,ACC-100320,tier 2,7,3,1489,no,
STRM-100321,ACC-100321,tier 2,7,3,1375,no,
STRM-100322,ACC-100322,tier 2,7,3,582,yes,switch to competitor
STRM-100323,ACC-100323,tier 2,7,3,294,yes,not enough content
STRM-100324,ACC-100324,tier 2,7,3,242,yes,too expensive
STRM-100325,ACC-100325,tier 3,5,3,1472,no,
STRM-100326,ACC-100326,tier 2,7,3,398,yes,too expensive
STRM-100327,ACC-100327,tier 2,7,3,680,yes,switch to competitor
STRM-100328,ACC-100328,tier 2,7,3,1665,no,
STRM-100329,ACC-100329,tier 2,7,3,1323,no,
STRM-100330,ACC-100330,tier 1,10,3,1675,no,
STRM-100331,ACC-100331,tier 2,7,3,1537,no,
STRM-100332,ACC-100332,tier 3,5,3,1470,no,
STRM-100333,ACC-100333,tier 1,10,3,526,yes,too expensive
STRM-100334,ACC-100334,tier 1,10,3,1421,no,
STRM-100335,ACC-100335,tier 1,10,3,1684,no,
STRM-100336,ACC-100336,tier 1,10,3,1344,no,
STRM-100337,ACC-100337,tier 3,5,3,1415,no,
STRM-100338,ACC-100338,tier 2,7,3,1444,no,
STRM-100339,ACC-100339,tier 2,7,3,1676,no,
STRM-100340,ACC-100340,tier 1,10,3,1348,no,
STRM-100341,ACC-100341,tier 2,7,3,1662,no,
STRM-100342,ACC-100342,tier 2,7,3,1334,no,
STRM-100343,ACC-100343,tier 1,10,3,1615,no,
STRM-100344,ACC-100344,tier 2,7,3,1581,no,
STRM-100345,ACC-100345,tier 2,7,3,1526,no,
STRM-100346,ACC-100346,tier 2,7,3,210,yes,too expensive
STRM-100347,ACC-100347,tier 2,7,3,354,yes,too expensive
STRM-100348,ACC-100348,tier 1,10,3,1496,no,
STRM-100349,ACC-100349,tier 2,7,3,523,yes,switch to competitor
STRM-100350,ACC-100350,tier 2,7,3,1419,no,
STRM-100351,ACC-100351,tier 2,7,3,1464,no,
STRM-100352,ACC-100352,tier 3,5,3,1632,no,
STRM-100353,ACC-100353,tier 2,7,3,1456,no,
STRM-100354,ACC-100354,tier 1,10,3,1457,no,
STRM-100355,ACC-100355,tier 1,10,3,1462,no,
STRM-100356,ACC-100356,tier 2,7,3,1358,no,
STRM-100357,ACC-100357,tier 1,10,3,709,yes,not enough content
STRM-100358,ACC-100358,tier 2,7,3,1650,no,
STRM-100359,ACC-100359,tier 3,5,3,48,yes,too expensive
STRM-100360,ACC-100360,tier 2,7,3,395,yes,switch to competitor
STRM-100361,ACC-100361,tier 2,7,3,1614,no,
STRM-100362,ACC-100362,tier 2,7,3,1542,no,
STRM-100363,ACC-100363,tier 2,7,3,1589,no,
STRM-100364,ACC-100364,tier 2,7,3,1551,no,
STRM-100365,ACC-100365,tier 3,5,3,1433,no,
STRM-100366,ACC-100366,tier 2,7,3,470,yes,too expensive
STRM-100367,ACC-100367,tier 3,5,3,1507,no,
STRM-100368,ACC-100368,tier 3,5,3,1604,no,
STRM-100369,ACC-100369,tier 1,10,3,1499,no,
STRM-100370,ACC-100370,tier 1,10,3,1613,no,
STRM-100371,ACC-100371,tier 1,10,3,1401,no,
STRM-100372,ACC-100372,tier 1,10,3,1640,no,
STRM-100373,ACC-100373,tier 1,10,3,603,yes,switch to competitor
STRM-100374,ACC-100374,tier 2,7,3,1356,no,
STRM-100375,ACC-100375,tier 1,10,3,1402,no,
STRM-100376,ACC-100376,tier 2,7,3,71,yes,too expensive
STRM-100377,ACC-100377,tier 3,5,3,1600,no,
STRM-100378,ACC-100378,tier 1,10,3,271,yes,switch to competitor
STRM-100379,ACC-100379,tier 3,5,3,1364,no,
STRM-100380,ACC-100380,tier 2,7,3,1356,no,
STRM-100381,ACC-100381,tier 1,10,3,1347,no,
STRM-100382,ACC-100382,tier 2,7,3,44,yes,too expensive
STRM-100383,ACC-100383,tier 2,7,3,1389,no,
STRM-100384,ACC-100384,tier 3,5,3,1357,no,
STRM-100385,ACC-100385,tier 2,7,3,1530,no,
STRM-100386,ACC-100386,tier 3,5,3,1452,no,
STRM-100387,ACC-100387,tier 2,7,3,1472,no,
STRM-100388,ACC-100388,tier 1,10,3,1611,no,
STRM-100389,ACC-100389,tier 3,5,3,542,yes,not enough content
STRM-100390,ACC-100390,tier 3,5,3,1561,no,
STRM-100391,ACC-100391,tier 3,5,3,1612,no,
STRM-100392,ACC-100392,tier 2,7,3,1470,no,
STRM-100393,ACC-100393,tier 2,7,3,1524,no,
STRM-100394,ACC-100394,tier 3,5,3,1445,no,
STRM-100395,ACC-100395,tier 2,7,3,532,yes,too expensive
STRM-100396,ACC-100396,tier 3,5,3,1386,no,
STRM-100397,ACC-100397,tier 3,5,3,684,yes,switch to competitor
STRM-100398,ACC-100398,tier 2,7,3,1410,no,
STRM-100399,ACC-100399,tier 3,5,3,427,yes,too expensive
STRM-100400,ACC-100400,tier 3,5,3,1658,no,
STRM-100401,ACC-100401,tier 1,10,3,1537,no,
STRM-100402,ACC-100402,tier 3,5,3,1403,no,
STRM-100403,ACC-100403,tier 2,7,3,1635,no,
STRM-100404,ACC-100404,tier 3,5,3,1611,no,
STRM-100405,ACC-100405,tier 2,7,3,1664,no,
STRM-100406,ACC-100406,tier 3,5,3,1442,no,
STRM-100407,ACC-100407,tier 2,7,3,1371,no,
STRM-100408,ACC-100408,tier 1,10,3,1512,no,
STRM-100409,ACC-100409,tier 3,5,3,1396,no,
STRM-100410,ACC-100410,tier 1,10,3,1340,no,
STRM-100411,ACC-100411,tier 2,7,3,1332,no,
STRM-100412,ACC-100412,tier 3,5,3,607,yes,not enough content
STRM-100413,ACC-100413,tier 3,5,3,1658,no,
STRM-100414,ACC-100414,tier 2,7,3,1336,no,
STRM-100415,ACC-100415,tier 2,7,3,1675,no,
STRM-100416,ACC-100416,tier 2,7,3,1331,no,
STRM-100417,ACC-100417,tier 2,7,3,1653,no,
STRM-100418,ACC-100418,tier 2,7,3,504,yes,too expensive
STRM-100419,ACC-100419,tier 2,7,3,1596,no,
STRM-100420,ACC-100420,tier 3,5,3,1503,no,
STRM-100421,ACC-100421,tier 3,5,3,1437,no,
STRM-100422,ACC-100422,tier 3,5,3,1532,no,
STRM-100423,ACC-100423,tier 1,10,3,1578,no,
STRM-100424,ACC-100424,tier 2,7,3,1506,no,
STRM-100425,ACC-100425,tier 1,10,3,1391,no,
STRM-100426,ACC-100426,tier 2,7,3,1610,no,
STRM-100427,ACC-100427,tier 2,7,3,1458,no,
STRM-100428,ACC-100428,tier 3,5,3,1409,no,
STRM-100429,ACC-100429,tier 2,7,3,1629,no,
STRM-100430,ACC-100430,tier 1,10,3,1659,no,
STRM-100431,ACC-100431,tier 1,10,3,1565,no,
STRM-100432,ACC-100432,tier 3,5,3,1443,no,
STRM-100433,ACC-100433,tier 2,7,3,1604,no,
STRM-100434,ACC-100434,tier 1,10,3,309,yes,switch to competitor
STRM-100435,ACC-100435,tier 1,10,3,106,yes,switch to competitor
STRM-100436,ACC-100436,tier 2,7,3,194,yes,not enough content
STRM-100437,ACC-100437,tier 1,10,3,205,yes,switch to competitor
STRM-100438,ACC-100438,tier 3,5,3,1532,no,
STRM-100439,ACC-100439,tier 2,7,3,571,yes,too expensive
STRM-100440,ACC-100440,tier 1,10,3,1426,no,
STRM-100441,ACC-100441,tier 1,10,3,678,yes,too expensive
STRM-100442,ACC-100442,tier 3,5,3,596,yes,too expensive
STRM-100443,ACC-100443,tier 2,7,3,430,yes,switch to competitor
STRM-100444,ACC-100444,tier 2,7,3,1479,no,
STRM-100445,ACC-100445,tier 3,5,3,21,yes,too expensive
STRM-100446,ACC-100446,tier 3,5,3,352,yes,too expensive
STRM-100447,ACC-100447,tier 3,5,3,1350,no,
STRM-100448,ACC-100448,tier 3,5,3,1624,no,
STRM-100449,ACC-100449,tier 2,7,3,333,yes,too expensive
STRM-100450,ACC-100450,tier 1,10,3,1370,no,
STRM-100451,ACC-100451,tier 3,5,3,635,yes,not enough content
STRM-100452,ACC-100452,tier 2,7,3,565,yes,switch to competitor
STRM-100453,ACC-100453,tier 2,7,3,1558,no,
STRM-100454,ACC-100454,tier 3,5,3,1456,no,
STRM-100455,ACC-100455,tier 1,10,3,1627,no,
STRM-100456,ACC-100456,tier 2,7,3,1410,no,
STRM-100457,ACC-100457,tier 1,10,3,1336,no,
STRM-100458,ACC-100458,tier 2,7,3,1423,no,
